id,Community
i1,6
i2,6
i3,6
i4,6
i5,6
i6,6
i7,6
i8,6
i9,6
i10,6
i11,6
i12,6
i13,6
i14,6
i15,6
i16,6
i17,6
i18,6
i19,6
i20,6
i21,6
i22,6
i23,6
i24,6
i25,6
i26,6
i27,6
i28,6
i29,6
i30,6
i31,6
i32,6
i33,6
i34,6
i35,6
i36,6
i37,6
i38,6
i39,6
i40,6
i41,6
i42,6
i43,6
i44,6
i45,6
i46,6
i47,6
i48,6
i49,6
i50,6
i51,6
i52,6
i53,6
i54,6
i55,6
i56,6
i57,6
i58,6
i59,6
i60,6
i61,6
i62,6
i63,6
i64,6
i65,6
i66,6
i67,6
i68,6
i69,6
i70,6
i71,6
i72,6
i73,6
i74,6
i75,6
i76,6
i77,6
i78,6
i79,6
i80,6
i81,6
i82,6
i83,6
i84,6
i85,6
i86,6
i87,6
i88,6
i89,6
i90,6
i91,6
i92,6
i93,6
i94,6
i95,6
i96,6
i97,6
i98,6
i99,6
i100,6
i101,6
i102,6
i103,6
i104,6
i105,6
i106,6
i107,6
i108,6
i109,6
i110,6
i111,6
i112,6
i113,6
i114,6
i115,6
i116,6
i117,6
i118,6
i119,6
i120,6
i121,6
i122,6
i123,6
i124,6
i125,6
i126,6
i127,6
i128,6
i129,6
i130,6
i131,6
i132,6
i133,6
i134,6
i135,6
i136,6
i137,6
i138,6
i139,6
i140,6
i141,6
i142,6
i143,6
i144,6
i145,6
i146,6
i147,6
i148,6
i149,6
i150,6
i151,6
i152,6
i153,6
i154,6
i155,6
i156,6
i157,6
i158,6
i159,6
i160,6
i161,6
i162,6
i163,6
i164,6
i165,6
i166,6
i167,6
i168,6
i169,6
i170,6
i171,6
i172,6
i173,6
i174,6
i175,2
i176,2
i177,2
i178,2
i179,2
i180,2
i181,2
i182,2
i183,2
i184,2
i185,2
i186,2
i187,6
i188,6
i189,6
i190,6
i191,2
i192,2
i193,2
i194,2
i195,2
i196,2
i197,2
i198,2
i199,2
i200,2
i201,2
i202,2
i203,2
i204,2
i205,2
i206,2
i207,2
i208,2
i209,2
i210,4
i211,4
i212,4
i213,4
i214,4
i215,4
i216,4
i217,4
i218,4
i219,4
i220,4
i221,4
i222,4
i223,4
i224,4
i225,4
i226,4
i227,4
i228,4
i229,4
i230,4
i231,4
i232,4
i233,4
i234,4
i235,4
i236,4
i237,4
i238,4
i239,4
i240,4
i241,4
i242,4
i243,4
i244,4
i245,4
i246,4
i247,4
i248,4
i249,4
i250,4
i251,4
i252,4
i253,4
i254,4
i255,4
i256,4
i257,4
i258,4
i259,4
i260,4
i261,4
i262,4
i263,4
i264,4
i265,4
i266,4
i267,4
i268,4
i269,4
i270,4
i271,4
i272,4
i273,4
i274,4
i275,4
i276,4
i277,4
i278,4
i279,4
i280,4
i281,4
i282,4
i283,4
i284,4
i285,4
i286,4
i287,4
i288,4
i289,4
i290,4
i291,4
i292,4
i293,4
i294,4
i295,4
i296,4
i297,4
i298,4
i299,4
i300,4
i301,4
i302,4
i303,4
i304,4
i305,4
i306,4
i307,4
i308,4
i309,4
i310,4
i311,4
i312,2
i313,2
i314,2
i315,2
i316,2
i317,2
i318,2
i319,2
i320,2
i321,2
i322,2
i323,2
i324,2
i325,2
i326,2
i327,2
i328,2
i329,2
i330,2
i331,2
i332,2
i333,2
i334,2
i335,1
i336,1
i337,1
i338,1
i339,1
i340,1
i341,1
i342,1
i343,1
i344,1
i345,1
i346,1
i347,1
i348,1
i349,1
i350,1
i351,1
i352,1
i353,1
i354,1
i355,4
i356,4
i357,4
i358,4
i359,4
i360,4
i361,4
i362,4
i363,4
i364,4
i365,4
i366,4
i367,4
i368,4
i369,4
i370,4
i371,4
i372,4
i373,4
i374,1
i375,1
i376,1
i377,1
i378,1
i379,1
i380,1
i381,1
i382,1
i383,1
i384,1
i385,1
i386,1
i387,1
i388,1
i389,1
i390,1
i391,4
i392,4
i393,4
i394,4
i395,4
i396,4
i397,4
i398,4
i399,4
i400,4
i401,4
i402,4
i403,4
i404,4
i405,4
i406,4
i407,4
i408,4
i409,4
i410,4
i411,4
i412,4
i413,4
i414,4
i415,4
i416,4
i417,4
i418,4
i419,4
i420,4
i421,4
i422,4
i423,4
i424,4
i425,4
i426,4
i427,4
i428,4
i429,4
i430,4
i431,4
i432,4
i433,4
i434,4
i435,4
i436,4
i437,4
i438,4
i439,4
i440,4
i441,4
i442,4
i443,4
i444,4
i445,4
i446,4
i447,4
i448,4
i449,4
i450,4
i451,4
i452,4
i453,4
i454,4
i455,4
i456,4
i457,4
i458,4
i459,4
i460,4
i461,4
i462,4
i463,4
i464,4
i465,4
i466,4
i467,4
i468,4
i469,4
i470,4
i471,4
i472,4
i473,4
i474,4
i475,4
i476,4
i477,4
i478,4
i479,4
i480,4
i481,4
i482,4
i483,4
i484,4
i485,4
i486,4
i487,4
i488,4
i489,4
i490,4
i491,4
i492,4
i493,4
i494,4
i495,4
i496,4
i497,4
i498,4
i499,4
i500,4
i501,5
i502,5
i503,5
i504,5
i505,5
i506,5
i507,5
i508,5
i509,5
i510,5
i511,5
i512,5
i513,5
i514,5
i515,5
i516,5
i517,5
i518,5
i519,5
i520,5
i521,5
i522,5
i523,5
i524,5
i525,5
i526,5
i527,5
i528,5
i529,5
i530,5
i531,5
i532,5
i533,5
i534,5
i535,5
i536,5
i537,5
i538,5
i539,5
i540,5
i541,5
i542,5
i543,5
i544,5
i545,5
i546,5
i547,5
i548,5
i549,5
i550,5
i551,5
i552,5
i553,5
i554,5
i555,5
i556,5
i557,5
i558,5
i559,5
i560,5
i561,5
i562,5
i563,5
i564,5
i565,5
i566,5
